iter	Passed	Remaining
0	2	290
1	4	232
2	7	239
3	9	239
4	12	235
5	14	234
6	17	234
7	20	231
8	22	223
9	23	215
10	25	206
11	27	200
12	29	195
13	31	190
14	32	184
15	34	179
16	36	177
17	37	171
18	39	170
19	41	167
20	43	162
21	45	159
22	46	156
23	48	153
24	49	149
25	51	145
26	52	141
27	55	141
28	56	139
29	58	135
30	59	131
31	60	128
32	61	125
33	64	125
34	66	123
35	68	122
36	70	120
37	72	118
38	73	115
39	76	115
40	78	113
41	79	109
42	81	108
43	83	106
44	86	105
45	89	104
46	91	103
47	93	100
48	95	98
49	96	96
50	99	95
51	100	93
52	103	91
53	104	89
54	105	86
55	107	84
56	109	82
57	112	81
58	114	79
59	116	77
60	119	76
61	121	74
62	123	72
63	125	70
64	127	68
65	128	66
66	130	64
67	132	62
68	135	60
69	136	58
70	137	56
71	139	54
72	140	52
73	142	49
74	144	48
75	147	46
76	148	44
77	150	42
78	151	40
79	153	38
80	154	36
81	155	34
82	157	32
83	159	30
84	161	28
85	163	26
86	164	24
87	167	22
88	169	20
89	171	19
90	173	17
91	174	15
92	176	13
93	179	11
94	181	9
95	184	7
96	185	5
97	188	3
98	190	1
99	191	0
